Ward,ZoneType,CulturalHeritageZone,FloodRiskLevel,NearbyConstruction,DistanceToStation_m,DistanceToSchool_m,DistanceToHospital_m,RoadType,ViewQuality,NoiseLevel,TravelTimeToMajorHub_min,NumberOfTrainLines_at_NearestStation,RestaurantDensity_in_500m,ConvenienceStoreCount_in_250m,ParkAreaRatio_in_1km,PropertyType,ConstructionMaterial,YearBuilt,YearRenovated,Floors,Orientation,LandArea_sqm,TotalFloorArea_sqm,FloorHeight_cm,EarthquakeResistant,HasBalcony,HasRooftop,HasGarden,ParkingType,HasParking,PetFriendly,InsulationLevel,HasGym,HasConcierge,HasLounge,HasGuestRoom,RoomCount,BedroomCount,LivingRoomCount,BathroomCount,ToiletCount,KitchenType,KitchenQuality,FloorHeating,CentralAC,LightingSystem,SmartHome,StorageSpace_sqm,HasStorageRoom,WasherDryerIncluded,FurnitureIncluded,IsBathAndToiletSeparate,ExteriorCondition,InteriorCondition,MaintenanceScore,EnergyEfficiencyRating,AirQualityScore,GreenBuildingCertified,ThermalInsulationScore,EarthquakeSafetyScore,MonthlyMaintenanceFee_JPY,OwnershipType,SaleType,SaleCondition,Availability,ListedBy,ListingYear,ListingMonth,LegalComplianceScore,AgentRating,BuildingInsuranceIncluded,LoanSupportAvailable,FirstTimeBuyerEligible,LastSoldPrice_JPY,TatamiRoomPresent,ShojiScreensIncluded,NearbyShrineOrTemple,SeismicZone,SunlightHours,BuildingDensityZone,ForeignOwnershipAllowed,RentalYieldEstimate,PastDisasterHistory,CustomFeature_1,CustomFeature_2,CustomFeature_3,CustomFeature_4,CustomFeature_5,NeighborhoodAvgIncome_JPY,ForeignerPopulationRatio,PopulationGrowthRate,FloorAreaRatio_Limit,BuildingCoverageRatio_Limit,NumberOfListings_in_Ward_Last3Months,AverageDaysOnMarket_in_Ward,AgeScore,IsJikoBukken,IsAirbnbZone,IsOldDangerousBuilding,IsRedevelopmentArea,NearbyNegativeFacility,IsLuxuryNearMajorStation,IsTraditionHighPrice,Price_JPY
Shinjuku,Industrial,0,2.1291369531451725,Light,509.2254117093794,620.4816635329208,636.0478461666695,Main,Panoramic,2.359377722493514,31.17059918371079,1,13.823361953669437,3,0.168,Mansion,RC,1992,1996,2,West,48.053539416802224,181.74116915834048,242.96734386663482,1,1,1,0,Mechanical,0,1,Low,1,0,1,0,5,1,0,2,2,Island,High-End,0,1,Auto,1,3.765472697882469,0,1,1,0,4,3,8,A,5,1,6,2,11105.921435216216,Freehold,Bank,Foreclosure,Immediate,Agent,2020,9,10,2,1,0,1,87303767.88950068,0,1,0,1,4.698218575394429,Low,0,6.85,1,Yes,96,38.21703389042996,A,1,4954275.112362899,0.34,-0.019,168,30,161,96,4,0,0,0,0,1,0,0,104354000.0
Shinjuku,Industrial,0,1.8236446635813173,Heavy,451.39193967589046,570.6433689516351,1008.2491249034358,Private,Partial,3.0592614986446556,36.75337712958678,1,21.871895104382133,3,0.022,Detached,Precast,2016,2006,9,North,115.46328930171477,74.49619068652713,252.7980494192577,0,1,0,0,None,0,1,Medium,1,0,1,0,3,3,1,1,1,Island,Standard,0,0,Smart,0,3.404387137762115,1,0,0,0,5,2,3,C,10,1,10,5,5332.66768887008,Leasehold_50yr,Company,Foreclosure,Immediate,Owner,2020,3,1,3,1,0,1,58271411.63179375,0,1,1,4,7.066102924597817,Medium,0,4.09,0,Yes,58,8.613234184716973,C,1,9454408.095234536,0.23,-0.013,397,62,122,22,9,0,0,0,0,0,0,0,63373000.0
Shibuya,Industrial,1,1.9220066034149441,None,64.33837577239512,778.7277714813863,1345.2995467723817,Alley,Partial,2.3953196294074752,31.12705966739795,4,52.051873001591,2,0.05,Mansion,Precast,2021,2017,1,East,110.24593068781697,110.99901954962493,258.8248561262806,0,1,1,0,Manual,0,1,Medium,0,1,1,0,2,3,0,2,1,Island,High-End,0,1,Smart,1,4.944767492609261,0,0,0,1,3,2,8,A,3,0,5,1,17267.06719825243,Leasehold_50yr,Bank,Inheritance,Immediate,Owner,2022,2,6,2,1,0,0,82121807.9192762,0,0,0,4,5.606417075395504,High,0,7.19,1,No,85,47.21939519479747,B,1,3943259.7065883605,0.3,-0.02,384,76,59,77,10,0,0,0,0,1,0,0,70625000.0
Minato,Residential,1,3.37089918830977,Moderate,238.12456740402936,1160.8334687976692,768.2788850689035,Main,Open,1.3596036519891475,24.152264304278837,1,32.383774048411645,5,0.159,Mansion,Wood,2009,1991,1,West,187.79213796497294,89.92734194426049,224.2206953665817,1,1,1,0,None,0,0,High,1,0,1,1,2,2,1,1,1,Island,High-End,1,0,Standard,0,3.494968143040581,1,1,0,1,1,3,4,C,9,0,9,10,17043.822273498263,Leasehold_30yr,Owner,Normal,Rented,Owner,2023,1,5,1,0,1,0,73091646.5888987,0,0,1,4,3.509612443883854,Medium,1,4.98,1,No,68,67.12490845501836,A,1,4723400.2905648,0.12,0.046,453,50,49,74,7,0,0,0,0,0,0,0,59906000.0
Chuo,Industrial,0,3.0330749845985157,Light,749.9778900578485,405.3437507384971,790.1895425698765,Private,Blocked,1.263656316896787,19.106607419116713,4,28.244038653370477,1,0.296,RowHouse,Steel,1987,1997,10,East,122.2576669544643,54.175782051908214,224.15863496188118,0,1,1,1,Mechanical,0,0,None,0,1,1,1,3,2,0,1,2,Compact,High-End,1,0,Standard,0,4.272568740089031,1,1,1,1,1,1,2,D,6,0,5,2,4921.592040082731,Leasehold_50yr,Owner,Inheritance,Immediate,Agent,2021,2,8,3,0,0,0,69783490.69220065,1,0,1,2,7.339243040514088,Low,0,5.16,0,No,57,46.15606498287026,B,1,6561025.687699872,0.39,0.03,234,52,111,82,3,0,0,0,0,1,0,0,34000000.0
Taito,Commercial,0,3.011847083639415,Heavy,464.83159632277886,803.1231529825094,1250.0272457041942,Private,Open,0.5534013169502647,41.956486128307205,2,48.128902199409254,5,0.264,RowHouse,Wood,2016,1998,5,South,149.85409081590205,137.26675541769313,257.79754455347535,1,0,0,1,Mechanical,1,1,High,1,1,0,1,4,1,1,1,2,Closed,High-End,1,0,Standard,0,4.621677476078571,1,0,1,0,4,2,6,E,3,0,6,5,3000.0,Leasehold_30yr,Bank,Normal,VacantSoon,Owner,2021,8,2,4,0,1,0,60671634.72262398,1,0,0,1,8.164606086030478,High,1,6.85,0,No,3,56.08051844089487,B,1,7983489.451982685,0.16,-0.002,474,32,91,74,9,0,0,0,0,1,0,0,85530000.0
Taito,Industrial,0,2.184564352545378,None,50.0,1020.2660814991352,1132.994218085036,Main,Partial,0.2500571213509839,38.06385565420025,2,26.037646899308314,2,0.109,RowHouse,Wood,1977,2008,9,South,112.60649347213398,105.9956159639541,219.7766672350972,0,1,1,0,Mechanical,1,0,None,1,1,0,0,2,3,1,1,2,Closed,Standard,1,0,Smart,1,3.9853929557933707,1,0,0,1,4,4,2,E,5,1,8,9,20922.869178648558,Leasehold_50yr,Owner,Inheritance,Immediate,Owner,2022,6,7,5,0,0,0,77971436.43110788,0,0,1,5,6.128608002992934,Low,1,5.01,1,No,40,59.86632849457563,C,1,5283400.298445817,0.35,-0.003,306,72,139,63,1,0,0,1,0,1,0,0,64636000.0
Chuo,Commercial,1,2.8891717235343966,None,620.8080366693341,1078.804645180266,1339.721846013125,Alley,Blocked,2.088335766640424,22.80537741979113,1,29.0857963803088,3,0.167,Mansion,Steel,2003,1990,6,South,171.27100461339225,113.57316823363338,233.50194460022215,1,1,0,1,None,0,1,High,1,1,1,0,2,1,1,1,1,Closed,Standard,0,0,Standard,0,8.14831506880552,0,1,1,1,2,5,7,B,10,0,10,10,15876.319450665169,Leasehold_50yr,Owner,Foreclosure,Immediate,Owner,2022,3,4,1,0,0,0,75229068.06594935,1,1,1,5,4.136827203201167,Low,0,3.97,1,Yes,16,72.57876662066573,C,1,5193699.604244427,0.02,0.009,273,39,174,90,6,0,0,0,0,1,0,1,70991000.0
Setagaya,Residential,1,1.1656869259594282,Heavy,50.0,1019.3709503185098,1052.8770713541626,Alley,Blocked,3.0088376417596483,32.63863150647535,4,39.9080285612285,5,0.17,RowHouse,Steel,2012,0,5,West,186.1175974523796,125.90131316292184,211.4832278427125,0,0,0,1,Mechanical,0,0,Low,1,0,0,1,3,2,1,2,1,Closed,High-End,0,1,Standard,1,2.908258175108294,1,0,1,0,2,3,1,E,1,1,4,9,13038.23476184014,Leasehold_50yr,Company,Foreclosure,Immediate,Owner,2020,10,7,4,0,1,0,63924163.415982015,1,1,0,1,6.650113552527177,Low,1,2.49,0,Yes,53,43.81615728454464,B,1,4631264.90863166,0.13,0.002,292,77,56,93,8,0,0,0,0,0,0,1,82473000.0
Shibuya,Commercial,0,2.583442978498067,Light,323.2448755968121,374.72194223938635,1456.5994314115446,Private,Panoramic,2.6909929541001323,5.0,4,25.9926420138365,3,0.209,RowHouse,Wood,1977,2015,6,East,74.48572024294154,126.19040863122498,223.3840299192233,1,1,1,1,Mechanical,1,0,None,0,0,1,0,2,3,0,1,1,Island,Standard,1,0,Auto,0,3.014611786005522,0,1,0,0,1,1,4,A,10,1,10,2,8939.910823460781,Leasehold_30yr,Company,Foreclosure,Immediate,Agent,2024,8,9,2,1,1,0,73741805.16593243,0,1,0,4,4.524713336716013,Low,0,7.63,1,No,63,44.97286772609585,A,1,6408921.871680872,0.17,0.038,363,77,90,20,1,0,0,0,0,0,0,0,92958000.0
Taito,Commercial,0,1.8465119680310327,Heavy,540.8191386441194,1139.5333653562857,973.2178302848778,Alley,Partial,2.8010690999060404,33.14232614573805,4,22.534792606474987,1,0.209,Apartment,Wood,1998,1992,6,West,90.67764578758191,83.41247877289271,235.11474180449008,1,1,1,1,Mechanical,0,1,Low,0,0,0,0,4,1,1,2,1,Closed,High-End,0,0,Auto,1,1.8778834406851357,1,1,1,1,1,2,8,A,9,1,10,7,9195.968919928071,Leasehold_50yr,Owner,Foreclosure,Immediate,Owner,2023,5,1,2,1,0,1,54023609.992392614,1,0,0,4,6.802778088533646,High,0,6.41,0,Yes,91,43.168913313799955,C,0,5475031.538736609,0.1,-0.015,283,45,44,33,5,0,0,0,0,0,0,0,64328000.0
Minato,Commercial,1,0.0,Heavy,703.426470004684,820.1580968287092,1438.8258343016237,Private,Blocked,3.2581937413236526,19.992107002030984,1,7.462435846392825,0,0.239,Detached,Wood,1982,2020,9,East,109.44824892131253,132.0194907603662,237.19761856595258,1,0,0,1,None,0,0,High,0,1,0,0,4,2,1,1,2,Island,Standard,0,0,Auto,0,4.34363276031501,0,0,0,0,3,5,7,C,8,1,2,9,12074.354181972183,Freehold,Owner,Normal,VacantSoon,Owner,2023,6,2,5,0,1,1,38080078.149639145,1,0,0,4,7.975338540445693,High,0,5.74,0,No,46,54.01240172622108,B,1,4211053.784221739,0.1,-0.008,116,57,171,74,2,0,0,0,0,0,0,0,97164000.0
Shibuya,Residential,0,0.4138983411780366,Light,50.0,474.32145320811486,837.28728629211,Main,Panoramic,4.069871176230732,52.1248594669531,4,20.635016866172386,2,0.017,Detached,Precast,1970,2006,9,North,166.09531711554294,83.50199634229281,242.85647952508893,1,1,0,1,None,0,0,Medium,1,1,0,1,3,2,1,1,1,Closed,Standard,1,0,Auto,1,5.67103788626412,0,1,1,1,4,1,7,D,8,0,2,10,18291.162910276325,Leasehold_30yr,Bank,Inheritance,Immediate,Owner,2024,7,7,4,0,1,1,65073073.95848057,1,0,0,1,3.729271454936607,High,1,6.48,1,Yes,78,30.784796246507295,C,0,8040930.024725935,0.18,0.021,347,55,161,83,1,0,0,0,0,0,0,0,62973000.0
Minato,Industrial,1,1.3370212199107798,None,577.8975268676745,792.749537797884,955.6036179129221,Alley,Blocked,2.5331694146099113,36.50622868673746,5,20.539722540103867,0,0.284,Apartment,Steel,1998,2002,5,South,87.84362128997994,41.8309404621528,237.36622244898348,1,1,1,1,Mechanical,1,0,High,0,1,1,1,1,1,0,2,1,Closed,Standard,1,1,Smart,1,4.197062782502288,1,0,0,0,4,3,7,B,10,1,10,8,8516.007790082069,Leasehold_50yr,Company,Normal,VacantSoon,Owner,2021,4,2,3,1,0,0,62681162.394575216,1,0,1,5,6.200961513604788,Medium,1,6.35,1,Yes,97,67.96973335914032,A,1,7998532.943036608,0.06,0.003,367,47,188,51,5,0,0,0,0,0,0,0,38374000.0
Shinjuku,Industrial,1,2.41515398434871,Moderate,615.4311600126167,212.4004570063131,1492.2683624252902,Main,Partial,2.9136899108508842,5.273160759516745,4,31.585666954686097,5,0.03,Apartment,Steel,2019,2003,4,North,30.0,109.9365955011462,258.15612388573794,0,0,1,0,None,0,1,Low,0,1,0,0,5,3,1,1,2,Closed,High-End,1,1,Smart,0,8.52223699339776,0,1,0,0,1,2,10,B,7,1,5,6,17425.775283750532,Leasehold_30yr,Bank,Inheritance,Rented,Agent,2023,7,5,5,1,0,1,36998708.25891156,1,0,1,2,4.4512806832449066,Low,0,2.44,0,No,71,45.71932607174945,C,1,7733782.274193553,0.16,-0.01,154,60,155,50,9,0,0,0,0,0,0,0,82235000.0
Shibuya,Residential,0,1.337920211666031,Light,260.74613296046755,973.4894069030806,994.2477594036492,Private,Open,2.921678362680752,17.887001034503008,5,23.89541734272224,3,0.148,RowHouse,RC,2006,1992,1,South,160.47590796275512,144.21553641450026,264.91065808658834,0,1,0,1,Manual,1,1,High,1,0,1,1,4,1,0,1,1,Closed,High-End,0,1,Standard,1,3.141115402749488,0,1,1,0,4,2,7,A,6,0,2,7,8184.1846122087845,Leasehold_50yr,Company,Normal,Rented,Owner,2020,10,8,3,0,0,1,58325448.7428494,0,1,1,4,7.35869480633275,Low,0,2.68,1,No,54,78.42517807584252,B,1,4643642.382935844,0.38,0.035,181,35,169,58,7,0,0,0,0,1,0,0,90293000.0
Taito,Commercial,1,1.4088832626152912,Moderate,422.72727235858747,761.6871600385849,731.507865211217,Main,Open,2.676771285975766,25.605806238390976,2,51.580190108571955,3,0.277,RowHouse,Precast,1970,2007,6,North,81.34384778505432,63.260177897857055,226.0421743410567,0,1,0,0,Manual,1,1,Medium,0,1,0,1,4,2,0,1,1,Closed,Standard,0,0,Auto,1,1.3666165911827708,0,0,0,1,2,3,7,A,10,0,2,5,4635.753901722998,Freehold,Bank,Foreclosure,Rented,Agent,2022,7,4,1,1,1,1,49411024.3898781,1,1,0,3,5.109976803556987,Low,0,5.34,0,No,40,60.770259169875395,C,0,8098884.011763062,0.29,-0.005,189,38,12,87,1,0,0,1,0,0,0,0,41196000.0
Shibuya,Industrial,0,2.763260921874842,None,50.0,418.9653031262508,1892.046349348474,Alley,Blocked,2.5230807154016786,24.575613429952995,5,19.42371069765194,4,0.151,Detached,Precast,2013,2012,7,West,103.33836309208564,26.754989769725192,206.51993029164737,0,0,1,1,Manual,1,0,Medium,1,0,1,1,5,3,1,1,2,Island,Standard,0,1,Smart,1,3.475522183473679,0,1,0,0,4,5,7,E,2,0,4,5,11944.615646992432,Freehold,Bank,Foreclosure,VacantSoon,Owner,2024,9,4,5,1,1,1,33258978.620613478,1,1,0,4,8.059955139788444,High,0,6.44,0,No,12,41.0296620509068,A,1,5462933.415738925,0.37,0.047,225,50,17,48,8,0,0,0,0,1,0,0,30486000.0
Shibuya,Residential,0,1.444987880550313,Heavy,50.0,712.9770180972337,1185.946666152736,Main,Panoramic,2.620376225636113,24.1239427119956,2,44.00646686857405,4,0.028,Apartment,Steel,1974,2018,7,South,100.62739479500426,95.05608441347697,248.37907842867708,1,1,1,1,Manual,0,0,High,0,1,0,1,3,3,1,2,2,Compact,Standard,1,1,Auto,1,0.8615815827009743,0,1,0,0,2,5,5,B,7,0,7,7,15660.539636566868,Leasehold_30yr,Owner,Foreclosure,VacantSoon,Owner,2021,3,6,4,0,1,1,52214552.09079303,1,0,1,4,9.989992577717974,High,1,3.8,1,Yes,83,49.72271425645002,A,1,6007651.445954342,0.39,0.001,295,69,189,92,1,0,0,0,0,0,0,0,65968000.0
Shibuya,Industrial,0,3.3308072420344113,Moderate,677.1331800020637,587.760434286957,1388.580830875192,Alley,Panoramic,4.373825566535894,34.847317284561186,1,32.197529551275494,0,0.076,Apartment,Precast,2022,2001,1,West,30.0,48.126132984359586,260.42926361586115,1,0,0,0,Mechanical,0,1,High,0,0,1,0,2,1,0,2,1,Compact,High-End,0,0,Standard,0,4.949387223074842,1,0,0,1,5,4,7,C,3,1,1,2,16563.122587990812,Freehold,Company,Inheritance,Rented,Owner,2024,5,2,3,1,0,0,64548000.81507086,1,1,1,5,3.4314081778742014,Medium,1,7.55,0,No,49,61.438188758171535,C,0,6269030.035221351,0.34,-0.009,197,66,126,96,10,0,0,0,0,1,0,0,33690000.0
Setagaya,Residential,0,3.1651237398201344,None,265.27619275350776,606.9248543152376,295.1678812488499,Alley,Panoramic,4.21894778513716,19.592222623570507,2,38.06774035712389,4,0.178,RowHouse,Wood,2017,1999,6,West,61.126305732492355,67.28490856536561,224.4766876122514,0,0,0,0,Manual,0,1,Low,1,1,0,0,3,2,0,2,1,Island,Standard,1,1,Smart,1,1.1972836123477566,1,1,0,0,4,2,5,D,5,1,5,10,6459.686340084749,Leasehold_50yr,Company,Normal,Rented,Agent,2024,5,6,5,0,1,0,40882888.487487555,1,0,1,4,5.677913828524787,Medium,0,3.04,0,Yes,39,85.0911494458889,A,1,7176420.960166011,0.37,0.021,319,70,106,42,9,0,0,0,0,0,0,0,55170000.0
Shibuya,Commercial,0,2.0218813205713184,None,313.44694212446524,121.69012518204966,1732.7234318164956,Alley,Partial,0.45145873101737566,24.2766871999644,2,37.4601959473587,5,0.035,Detached,Steel,2019,2016,8,East,162.84374446168033,93.7797882107842,233.86775844421814,1,1,0,0,Mechanical,0,1,Medium,0,0,1,0,1,1,1,2,1,Closed,Standard,0,0,Auto,1,3.3854385140832277,1,1,1,0,5,3,7,B,4,1,3,3,19500.795664093286,Leasehold_50yr,Company,Normal,Immediate,Owner,2024,9,2,3,0,1,0,48372792.47446527,1,1,1,1,7.438825243288924,Medium,1,6.71,0,Yes,57,28.598785824953914,A,1,6133533.860316793,0.33,0.039,229,63,30,84,9,0,0,0,0,1,0,1,70413000.0
Minato,Industrial,0,2.7534614516583287,Heavy,458.66910092350656,298.35097398959925,2258.492369305806,Alley,Open,2.7623410082572,40.26072099631673,4,7.817644696875835,1,0.133,Mansion,Steel,1971,1999,3,South,118.17091324143561,20.0,259.39485749944566,0,0,0,0,Mechanical,1,1,None,1,0,0,0,1,1,1,2,1,Island,Standard,0,1,Standard,0,2.423000428942394,1,0,1,1,1,2,4,C,1,0,3,8,6894.8377030670745,Freehold,Bank,Foreclosure,VacantSoon,Agent,2020,8,6,1,1,1,1,69306002.04627484,0,0,0,3,4.641708298692826,Medium,0,2.86,0,Yes,32,76.44179003209806,A,0,6263261.151864174,0.23,0.032,486,45,140,90,1,0,0,1,0,1,0,0,8622000.0
Shinjuku,Residential,1,2.617240454356382,Heavy,308.51694730578185,731.0903025928756,1696.8729814774279,Alley,Open,2.508395135827268,40.42219423146413,3,29.88447321023443,5,0.105,Apartment,Precast,2016,0,1,North,167.81760235926546,71.71788535298637,262.17177611832295,0,0,1,0,None,0,0,Low,0,1,1,1,5,2,0,2,1,Island,High-End,1,1,Auto,0,3.5617604012675423,1,1,1,0,4,4,8,A,7,0,8,1,13895.595928847097,Leasehold_50yr,Bank,Foreclosure,Rented,Agent,2021,6,1,1,1,1,1,62780473.20671685,1,1,1,5,6.315105859979152,Low,1,3.36,1,No,31,65.87511857385573,A,0,4984543.63244119,0.12,-0.014,109,51,23,61,9,0,0,0,0,0,0,0,51573000.0
Chuo,Industrial,1,1.7543347240405964,None,285.32696661576284,679.4748214965919,1753.8810812011125,Private,Blocked,4.012206789447911,34.777382355681574,2,27.37771862766168,0,0.246,Detached,Steel,1991,1992,7,North,200.8746620869252,74.65036361331163,249.3915939430702,1,1,1,0,Manual,0,0,None,0,1,1,0,1,3,1,2,2,Compact,High-End,1,0,Standard,0,2.047539716502805,0,1,1,0,3,4,7,C,1,0,4,10,5976.308963995213,Leasehold_50yr,Bank,Inheritance,VacantSoon,Owner,2022,8,4,1,0,1,0,79907356.53556907,0,1,0,4,4.26740167390405,Low,0,4.53,0,No,81,62.506870098979135,A,1,6085505.227156869,0.25,0.005,378,78,43,24,4,0,0,0,0,1,0,0,59027000.0
Shibuya,Industrial,1,2.861634662972146,None,498.62226547751237,1092.1934485441182,1036.4920475577035,Main,Open,2.4570554648302667,21.502728989748462,5,18.670219053087326,5,0.042,Detached,Precast,1999,2022,4,South,38.36353961227252,163.97227637140776,240.75111246334916,0,0,1,1,Mechanical,0,0,Medium,1,1,0,1,1,3,0,1,2,Island,High-End,1,0,Auto,1,2.3275353678568895,0,1,0,0,3,1,6,C,4,0,6,10,13614.310522231963,Leasehold_50yr,Bank,Normal,VacantSoon,Agent,2020,10,4,4,1,1,0,56137285.28644739,0,1,1,1,1.9157782681817346,Low,0,4.92,0,No,44,61.92177659252478,A,0,4948810.875257711,0.22,0.033,396,77,71,75,5,0,0,0,0,0,0,0,109842000.0
Taito,Industrial,1,3.008902055390527,Moderate,50.0,610.4651063988564,1300.729205864814,Private,Panoramic,2.8017888603733616,17.926750363918085,1,34.59626037215868,4,0.208,Detached,Precast,1980,2000,5,East,103.4361619275331,83.74585206449615,230.3032421380508,0,0,0,1,None,0,0,Medium,0,1,1,0,5,1,1,1,1,Closed,Standard,0,1,Auto,1,4.242283713734312,0,0,1,1,5,2,6,B,8,1,10,2,11100.887309714253,Leasehold_50yr,Company,Inheritance,VacantSoon,Owner,2023,1,3,1,0,0,1,64098544.39975874,1,1,1,2,6.501468005653077,Medium,0,3.69,1,No,84,32.9194788408814,B,1,5601057.49721596,0.03,-0.012,437,46,69,94,1,0,0,1,0,0,0,1,47754000.0
Shibuya,Industrial,0,1.0475647692095997,None,689.9794129651484,641.9056041046192,1395.2308610079585,Main,Partial,1.7200946905636894,24.587061386955256,5,47.165403158774716,4,0.128,Apartment,Precast,1998,2012,2,South,114.47497296819414,175.2826922436985,244.44786862552672,0,1,1,0,Mechanical,1,1,Low,1,0,0,1,5,3,0,1,2,Island,Standard,0,0,Standard,0,5.171746782312078,0,1,1,0,3,3,5,C,9,1,1,5,10836.58441297583,Leasehold_50yr,Company,Foreclosure,Rented,Owner,2024,6,1,1,0,1,0,33698973.83212077,1,0,0,4,6.52976196701158,Low,1,3.16,1,Yes,10,69.39573149310453,B,1,8481540.796641693,0.33,0.009,250,45,77,73,5,0,0,0,0,1,0,0,101162000.0
Taito,Residential,1,2.1535486383207414,None,342.4374937814117,655.928025252008,920.955984339406,Main,Panoramic,3.4761248942433154,25.28451735975226,1,3.26996356115934,1,0.18,Mansion,Wood,2011,2020,7,West,195.6612545931052,139.42126480023362,241.73165073715433,1,1,1,1,Mechanical,1,1,Medium,1,0,1,0,5,2,0,2,1,Compact,High-End,1,1,Auto,0,1.2699578944016379,0,0,0,1,2,1,2,B,9,0,2,9,16286.38600574099,Leasehold_50yr,Owner,Inheritance,Rented,Owner,2023,4,4,5,0,0,1,36824251.59490996,0,0,1,4,3.438016975979852,Medium,1,7.81,0,No,74,71.54480152309013,A,0,6381575.356456043,0.28,0.019,247,57,143,53,8,0,0,0,0,0,0,0,97354000.0
Minato,Commercial,1,2.1425038225761655,Moderate,148.58537481478177,740.8910822602716,1150.3762286030865,Main,Panoramic,1.0072995762175385,24.646715205688974,5,24.655303241582793,5,0.07,RowHouse,Precast,1972,2007,1,East,65.98830975194954,107.92942476018115,253.27214182480827,0,1,0,0,None,1,1,None,0,0,1,1,5,3,0,2,2,Closed,Standard,1,1,Standard,0,6.420061152107263,1,1,1,1,1,3,6,E,8,1,8,1,15554.489081526397,Freehold,Company,Normal,Immediate,Owner,2024,4,5,2,0,0,1,64392620.2779164,1,1,0,1,4.3191250786073265,Medium,0,7.22,1,Yes,72,82.32548092813491,B,0,7007066.300600179,0.05,-0.002,347,71,176,91,1,0,0,1,0,0,0,1,71622000.0
Taito,Residential,1,2.8496194674507045,Light,114.94757886941704,827.4392201071902,799.6027658229832,Private,Open,2.133580694114551,30.562955736996468,2,17.542338358863773,1,0.187,Mansion,Precast,2014,2017,4,West,136.41571903239026,104.31109530208073,248.07376134229975,0,0,0,0,Mechanical,1,0,High,1,0,1,0,5,2,1,1,2,Compact,High-End,0,0,Standard,1,3.381861843928152,0,0,1,1,2,4,8,E,5,1,6,2,15321.974118613593,Leasehold_50yr,Owner,Inheritance,VacantSoon,Owner,2024,7,7,5,0,1,0,87200377.01489218,0,1,0,5,4.678800051736522,Low,1,5.63,1,No,79,53.702863699541965,A,0,6354469.583698312,0.02,0.047,330,47,61,37,8,0,0,0,0,1,0,0,74659000.0
Chuo,Residential,0,1.5561416495506633,Moderate,410.6629716138308,678.1017167506221,1041.7975079483158,Alley,Partial,1.2349296567964982,28.606663149299916,3,30.71777826237693,0,0.205,Detached,RC,1982,2017,8,South,184.23661420362117,103.00399903061721,212.36167525703505,1,1,0,0,None,1,1,Low,0,1,1,0,4,3,0,2,2,Closed,Standard,0,0,Auto,1,3.823764280443784,0,1,1,1,1,5,2,C,6,0,8,10,3000.0,Freehold,Owner,Inheritance,VacantSoon,Agent,2021,10,7,4,0,1,0,85761088.3140241,1,0,1,1,6.417694946259787,Medium,1,6.55,1,Yes,27,56.32543790326089,A,0,8376897.594935589,0.05,0.015,471,51,162,74,2,0,0,0,0,0,0,0,76223000.0
Shinjuku,Residential,1,1.4022396672235713,Moderate,323.4105725554058,971.3664462378725,1536.3566281548478,Alley,Partial,2.1389062110344397,28.18907291787186,2,26.743787168500038,2,0.03,Apartment,RC,1972,2007,7,East,164.51614076392752,95.41575546877566,237.151129101458,1,1,0,0,Manual,1,1,High,0,0,1,1,2,1,0,1,1,Closed,High-End,1,0,Standard,1,4.376877496144671,1,0,1,1,3,5,6,C,2,1,7,6,11765.237759018279,Leasehold_30yr,Bank,Inheritance,VacantSoon,Owner,2022,12,2,4,0,0,1,32509865.67921504,1,0,0,2,7.010000490574992,Medium,0,4.5,0,No,85,65.74290055854445,C,1,3000000.0,0.39,0.043,441,77,62,59,1,0,0,0,0,1,0,0,65149000.0
Taito,Commercial,0,2.1689996603111537,Heavy,50.0,1490.0662920885777,493.69501379275766,Private,Panoramic,1.841253065018416,20.332559972802276,4,23.943227872428217,5,0.249,Apartment,Wood,1979,2008,7,South,145.5673194776758,30.77346494495434,266.12440153709747,1,1,0,1,Mechanical,0,1,High,1,1,0,1,5,2,1,2,2,Compact,Standard,0,0,Smart,1,3.097867074483474,0,0,0,0,1,3,2,D,9,0,6,3,18795.48096378538,Freehold,Company,Inheritance,Immediate,Agent,2020,9,4,1,0,0,0,81986064.4128713,0,0,0,3,6.060506972762671,High,0,6.34,1,Yes,38,52.213496695591026,C,1,6154872.951824553,0.38,0.018,438,79,142,73,1,0,0,0,0,1,0,0,24522000.0
Taito,Industrial,1,3.181359223253573,Moderate,249.5412236554659,552.3668315467296,1581.2414430636609,Alley,Blocked,3.5042889633576397,13.010628194337064,5,36.895068283290584,5,0.26,Mansion,Wood,1973,1991,7,South,84.15406052286119,103.91115098632363,200.0,1,0,1,0,Mechanical,0,0,Low,1,1,1,0,2,2,1,2,2,Compact,High-End,1,1,Standard,0,6.706266851320157,0,1,1,1,2,3,8,A,2,1,3,9,9432.352066269621,Leasehold_30yr,Bank,Inheritance,VacantSoon,Agent,2020,1,5,4,0,1,0,38639876.96486372,0,1,1,4,2.829732941371117,Low,0,3.64,0,Yes,31,41.549716747210155,B,1,6553925.921146462,0.13,0.039,484,57,32,84,1,0,0,0,0,1,0,0,62670000.0
